x y
330 690
60 705
75 705
90 705
105 705
120 705
135 705
150 705
165 705
180 705
195 705
210 705
225 705
240 705
255 705
270 705
285 705
300 705
315 705
330 705
60 720
75 720
90 720
105 720
120 720
135 720
150 720
165 720
180 720
195 720
210 720
225 720
240 720
255 720
270 720
285 720
300 720
315 720
330 720
60 735
75 735
90 735
105 735
120 735
135 735
150 735
165 735
180 735
195 735
210 735
225 735
240 735
255 735
270 735
285 735
300 735
315 735
330 735
60 750
75 750
90 750
105 750
120 750
135 750
150 750
165 750
180 750
195 750
210 750
225 750
240 750
255 750
270 750
285 750
300 750
315 750
330 750
60 765
75 765
90 765
105 765
120 765
135 765
150 765
165 765
180 765
195 765
210 765
225 765
240 765
255 765
270 765
285 765
300 765
315 765
330 765
60 780
75 780
90 780
105 780
120 780
135 780
150 780
165 780
180 780
195 780
210 780
225 780
240 780
255 780
270 780
285 780
300 780
315 780
330 780
60 795
75 795
90 795
105 795
120 795
135 795
150 795
165 795
180 795
195 795
210 795
225 795
240 795
255 795
270 795
285 795
300 795
315 795
330 795
60 810
75 810
90 810
105 810
120 810
135 810
150 810
165 810
180 810
195 810
210 810
225 810
240 810
255 810
270 810
285 810
300 810
315 810
330 810
60 825
75 825
90 825
105 825
120 825
135 825
150 825
165 825
180 825
195 825
210 825
225 825
240 825
255 825
270 825
285 825
300 825
315 825
330 825
60 840
75 840
90 840
105 840
120 840
135 840
150 840
165 840
180 840
195 840
210 840
225 840
240 840
255 840
270 840
285 840
300 840
315 840
330 840
60 855
75 855
90 855
105 855
120 855
135 855
150 855
165 855
180 855
195 855
210 855
225 855
240 855
255 855
270 855
285 855
300 855
315 855
330 855
60 870
75 870
90 870
105 870
120 870
135 870
150 870
165 870
180 870
195 870
210 870
225 870
240 870
255 870
270 870
285 870
300 870
315 870
330 870
60 885
75 885
90 885
105 885
120 885
135 885
150 885
165 885
180 885
195 885
210 885
225 885
240 885
255 885
270 885
285 885
300 885
315 885
330 885
60 900
75 900
90 900
105 900
120 900
135 900
150 900
165 900
180 900
195 900
210 900
225 900
240 900
255 900
270 900
285 900
300 900
315 900
330 900
60 915
75 915
90 915
105 915
120 915
135 915
150 915
165 915
180 915
195 915
210 915
225 915
240 915
255 915
270 915
285 915
300 915
315 915
330 915
60 930
75 930
90 930
105 930
120 930
135 930
150 930
165 930
180 930
195 930
210 930
225 930
240 930
255 930
270 930
285 930
300 930
315 930
330 930
60 945
75 945
90 945
105 945
120 945
135 945
150 945
165 945
180 945
195 945
210 945
225 945
240 945
255 945
270 945
285 945
300 945
315 945
330 945
60 960
75 960
90 960
105 960
120 960
135 960
150 960
165 960
180 960
195 960
210 960
225 960
240 960
255 960
270 960
285 960
300 960
315 960
330 960
60 975
75 975
90 975
105 975
120 975
135 975
150 975
165 975
180 975
195 975
210 975
225 975
240 975
255 975
270 975
285 975
300 975
315 975
330 975
60 990
75 990
90 990
105 990
120 990
135 990
150 990
165 990
180 990
195 990
210 990
225 990
240 990
255 990
270 990
285 990
300 990
315 990
330 990
60 1005
75 1005
90 1005
105 1005
120 1005
135 1005
150 1005
165 1005
180 1005
195 1005
210 1005
225 1005
240 1005
255 1005
270 1005
285 1005
300 1005
315 1005
330 1005
60 1020
75 1020
90 1020
105 1020
120 1020
135 1020
150 1020
165 1020
180 1020
195 1020
210 1020
225 1020
240 1020
255 1020
270 1020
285 1020
300 1020
315 1020
330 1020
